name,gender,nom_category,year
Frank Tarloff,male,"Writing, Original Screenplay",1965
Robert Alan Aurthur,male,"Writing, Original Screenplay",1980
Philip Dunne,male,"Writing, Original Screenplay",1952
I. A. L. Diamond,male,"Writing, Original Screenplay",1967
I. A. L. Diamond,male,"Writing, Original Screenplay",1961
Alfred Hayes,male,"Writing, Original Screenplay",1950
Jay Cocks,male,"Writing, Original Screenplay",2003
Stanley Kubrick,male,"Writing, Original Screenplay",1969
Richard Linklater,male,"Writing, Original Screenplay",2015
Krzysztof Kieślowski,male,"Writing, Original Screenplay",1995
Louis Malle,male,"Writing, Original Screenplay",1988
Louis Malle,male,"Writing, Original Screenplay",1973
Francis Ford Coppola,male,"Writing, Original Screenplay",1975
Francis Ford Coppola,male,"Writing, Original Screenplay",1971
Michael Haneke,male,"Writing, Original Screenplay",2013
Lawrence Lasker,male,"Writing, Original Screenplay",1984
T. E. B. Clarke,male,"Writing, Original Screenplay",1950
T. E. B. Clarke,male,"Writing, Original Screenplay",1953
Matt Damon,male,"Writing, Original Screenplay",1998
Lillian Hellman,female,"Writing, Original Screenplay",1944
Spike Jonze,male,"Writing, Original Screenplay",2014
Callie Khouri,female,"Writing, Original Screenplay",1992
Naomi Foner Gyllenhaal,female,"Writing, Original Screenplay",1989
Noël Coward,male,"Writing, Original Screenplay",1944
David O. Russell,male,"Writing, Original Screenplay",2014
Adolph Green,male,"Writing, Original Screenplay",1956
Adolph Green,male,"Writing, Original Screenplay",1954
Christopher McQuarrie,male,"Writing, Original Screenplay",1996
John Singleton,male,"Writing, Original Screenplay",1992
Charles Shyer,male,"Writing, Original Screenplay",1981
Kirsten Sheridan,female,"Writing, Original Screenplay",2004
Courtney Hunt,female,"Writing, Original Screenplay",2009
Tonino Guerra,male,"Writing, Original Screenplay",1967
Tonino Guerra,male,"Writing, Original Screenplay",1976
Tonino Guerra,male,"Writing, Original Screenplay",1966
Richard L. Breen,male,"Writing, Original Screenplay",1954
Pamela Wallace,female,"Writing, Original Screenplay",1986
Christopher Wilkinson,male,"Writing, Original Screenplay",1996
Arthur Laurents,male,"Writing, Original Screenplay",1978
David S. Ward,male,"Writing, Original Screenplay",1974
David S. Ward,male,"Writing, Original Screenplay",1994
Tom Schulman,male,"Writing, Original Screenplay",1990
Peter Morgan,male,"Writing, Original Screenplay",2007
Alessandro Camon,male,"Writing, Original Screenplay",2010
Whit Stillman,male,"Writing, Original Screenplay",1991
Brunello Rondi,male,"Writing, Original Screenplay",1962
Jeff Arch,male,"Writing, Original Screenplay",1994
Robert Pirosh,male,"Writing, Original Screenplay",1950
Robert Pirosh,male,"Writing, Original Screenplay",1952
Lee Hall,male,"Writing, Original Screenplay",2001
Lesser Samuels,male,"Writing, Original Screenplay",1951
Lesser Samuels,male,"Writing, Original Screenplay",1952
Lowell Ganz,male,"Writing, Original Screenplay",1985
Meg Kasdan,female,"Writing, Original Screenplay",1992
Stephen Gaghan,male,"Writing, Original Screenplay",2006
William Ludwig,male,"Writing, Original Screenplay",1956
Henri Marquet,male,"Writing, Original Screenplay",1956
Jan Sardi,male,"Writing, Original Screenplay",1997
William Bowers,male,"Writing, Original Screenplay",1959
Steve Shagan,male,"Writing, Original Screenplay",1974
Richard Connell,male,"Writing, Original Screenplay",1945
Jerome Cady,male,"Writing, Original Screenplay",1945
Andrea Berloff,female,"Writing, Original Screenplay",2016
Hugo Guinness,male,"Writing, Original Screenplay",2015
Craig Borten,male,"Writing, Original Screenplay",2014
Charles Kaufman,male,"Writing, Original Screenplay",1963
"Armando Bó, nieto",male,"Writing, Original Screenplay",2015
Joel Kane,male,"Writing, Original Screenplay",1958
S. Leigh Savidge,male,"Writing, Original Screenplay",2016
Taylor Sheridan,male,"Writing, Original Screenplay",2017
Nia Vardalos,female,"Writing, Original Screenplay",2003
M. Night Shyamalan,male,"Writing, Original Screenplay",2000
Joseph L. Mankiewicz,male,"Writing, Original Screenplay",1955
